speciesKey,species,decimalLatitude,decimalLongitude,year,countryCode,taxonRank
7462894.0,Paremballonura atrata,-21.356896,47.833537,2025,MG,SPECIES
2494077.0,Foudia madagascariensis,-18.86728,47.518336,2025,MG,SPECIES
1406909.0,Liturgusella malagassa,-21.339598,47.801485,2025,MG,SPECIES
4266938.0,Prolemur simus,-21.34481,47.971768,2025,MG,SPECIES
2465128.0,Sanzinia madagascariensis,-21.356896,47.833537,2025,MG,SPECIES
2492681.0,Copsychus albospecularis,-21.39544,47.937872,2025,MG,SUBSPECIES
2436424.0,Varecia variegata,-21.376686,47.80978,2025,MG,SUBSPECIES
2495109.0,Schetba rufa,-21.339598,47.801485,2025,MG,SPECIES
2494077.0,Foudia madagascariensis,-21.38016,47.884834,2025,MG,SPECIES
4266938.0,Prolemur simus,-21.203844,47.951369,2025,MG,SPECIES
2486686.0,Terpsiphone mutata,-21.339598,47.801485,2025,MG,SUBSPECIES
2447419.0,Phelsuma madagascariensis,-21.394205,47.937653,2025,MG,SUBSPECIES
2494077.0,Foudia madagascariensis,-21.39544,47.937872,2025,MG,SPECIES
2452516.0,Liophidium rhodogaster,-21.355484,47.816815,2025,MG,SPECIES
8121486.0,Thamnosophis lateralis,-21.38016,47.884834,2025,MG,SPECIES
2448865.0,Calumma brevicorne,-18.940476,48.417072,2025,MG,SPECIES
2423417.0,Boophis guibei,-18.947481,48.418984,2025,MG,SPECIES
5219529.0,Propithecus diadema,-18.883779,48.436575,2025,MG,SPECIES
1173257.0,Trachelophorus giraffa,-18.935616,48.420015,2025,MG,SPECIES
7942093.0,Yanga pulverea,-18.947206,48.419025,2025,MG,SPECIES
5228294.0,Eurystomus glaucurus,-20.061426,44.640797,2025,MG,SPECIES
2486686.0,Terpsiphone mutata,-20.059649,44.641172,2025,MG,SPECIES
2493347.0,Neomixis striatigula,-20.251439,44.417547,2025,MG,SPECIES
2493347.0,Neomixis striatigula,-20.061426,44.640797,2025,MG,SUBSPECIES
6101109.0,Cinnyris sovimanga,-20.061426,44.640797,2025,MG,SUBSPECIES
2493966.0,Dicrurus forficatus,-20.059649,44.641172,2025,MG,SUBSPECIES
2479555.0,Agapornis canus,-20.061426,44.640797,2025,MG,SUBSPECIES
2433518.0,Mungotictis decemlineata,-20.068949,44.635868,2025,MG,SPECIES
2496411.0,Coua cristata,-20.059649,44.641172,2025,MG,SUBSPECIES
5843275.0,Phelsuma kochi,-20.05263,44.638562,2025,MG,SPECIES
5229167.0,Milvus migrans,-20.061426,44.640797,2025,MG,SUBSPECIES
2494077.0,Foudia madagascariensis,-20.061426,44.640797,2025,MG,SPECIES
2496417.0,Coua coquereli,-20.059649,44.641172,2025,MG,SPECIES
